Rasmussen,SurveyUSA,DiffCount,PropR,Republican
11.0,0.9391891891891893,5.0,1.0,1
18.5,0.9391891891891893,5.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
16.0,-0.8243243243243243,6.0,1.0,1
5.0,0.9391891891891893,8.0,1.0,1
5.0,-0.8243243243243243,9.0,1.0,1
8.0,-0.8243243243243243,4.0,0.833333333,1
7.0,0.9391891891891893,8.0,1.0,1
10.0,-0.8243243243243243,5.0,1.0,1
0.04040404040404041,-0.8243243243243243,2.0,1.0,1
-11.0,-3.7635135135135136,-8.0,0.0,0
-17.5,-3.7635135135135136,-5.0,0.0,0
0.04040404040404041,-3.7635135135135136,-6.0,0.0,0
5.0,0.9391891891891893,9.0,1.0,1
-4.0,-0.8243243243243243,-15.0,0.0,0
3.0,-2.0,-5.0,0.307692308,0
0.04040404040404041,-0.8243243243243243,-3.0,0.0,0
-17.0,-3.7635135135135136,-4.0,0.0,0
-7.0,-3.7635135135135136,-8.0,0.0,0
0.04040404040404041,-0.8243243243243243,-2.0,0.0,0
-15.0,-3.7635135135135136,-4.0,0.0,0
3.0,0.9391891891891893,0.0,0.5,1
1.0,-3.0,-13.0,0.15789473699999998,0
2.0,0.0,6.0,0.666666667,0
0.04040404040404041,0.9391891891891893,4.0,1.0,1
5.0,0.9391891891891893,9.0,1.0,1
0.04040404040404041,0.9391891891891893,4.0,1.0,1
0.04040404040404041,-0.8243243243243243,2.0,0.75,0
-17.5,-0.8243243243243243,-1.0,0.0,0
0.04040404040404041,-0.8243243243243243,-2.0,0.0,0
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
18.5,-0.8243243243243243,1.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
-11.0,-3.7635135135135136,-5.0,0.0,0
-17.5,-0.8243243243243243,-5.0,0.0,0
0.04040404040404041,-0.8243243243243243,-5.0,0.0,0
0.04040404040404041,0.9391891891891893,3.0,1.0,1
3.0,0.0,2.0,0.625,0
9.0,-0.8243243243243243,3.0,1.0,1
2.0,-3.0,5.0,0.666666667,1
-8.0,-3.7635135135135136,-8.0,0.0,0
1.0,-0.8243243243243243,-2.0,0.4,0
0.04040404040404041,0.9391891891891893,3.0,1.0,1
13.0,0.9391891891891893,2.0,1.0,1
0.04040404040404041,0.9391891891891893,1.0,1.0,1
0.04040404040404041,0.9391891891891893,3.0,1.0,1
12.0,0.9391891891891893,5.0,1.0,1
0.04040404040404041,0.9391891891891893,1.0,1.0,1
0.04040404040404041,-0.8243243243243243,5.0,1.0,1
16.0,-0.8243243243243243,2.0,1.0,1
0.04040404040404041,-0.8243243243243243,2.0,1.0,1
0.04040404040404041,-3.7635135135135136,-6.0,0.0,0
-13.0,-3.7635135135135136,-6.0,0.0,0
-12.0,-0.8243243243243243,-6.0,0.0,0
-3.0,-3.7635135135135136,-6.0,0.0,0
-17.5,-0.8243243243243243,-1.0,0.0,0
0.04040404040404041,-0.8243243243243243,-4.0,0.0,0
0.04040404040404041,-0.8243243243243243,-2.0,0.0,0
-17.5,-3.7635135135135136,-4.0,0.0,0
-17.5,-0.8243243243243243,-8.0,0.0,0
0.04040404040404041,-0.8243243243243243,-2.0,0.0,0
-10.0,-0.8243243243243243,-11.0,0.133333333,0
-5.0,-0.8243243243243243,-10.0,0.083333333,0
-1.0,-0.8243243243243243,-7.0,0.181818182,0
-12.0,-3.0,-14.0,0.0,0
-5.0,-3.7635135135135136,-5.0,0.14285714300000002,0
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
8.0,-0.8243243243243243,4.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
5.0,0.9391891891891893,8.0,1.0,1
0.0,0.0,4.0,0.833333333,1
11.0,0.9391891891891893,8.0,1.0,1
0.04040404040404041,-0.8243243243243243,3.0,1.0,1
4.0,-0.8243243243243243,4.0,0.75,1
10.0,-0.8243243243243243,5.0,1.0,1
0.04040404040404041,-0.8243243243243243,2.0,1.0,1
18.5,-0.8243243243243243,1.0,1.0,1
0.04040404040404041,-0.8243243243243243,2.0,1.0,1
2.0,0.9391891891891893,9.0,1.0,1
-4.0,-0.8243243243243243,-9.0,0.090909091,0
-2.0,-3.7635135135135136,-10.0,0.0,0
-2.0,-0.8243243243243243,-5.0,0.222222222,0
-7.0,-3.7635135135135136,-14.0,0.0,0
-2.0,-0.8243243243243243,-8.0,0.0,0
-12.0,-3.7635135135135136,-8.0,0.0,0
-15.0,-3.7635135135135136,-9.0,0.0,0
0.04040404040404041,-3.7635135135135136,-9.0,0.0,0
4.0,-0.8243243243243243,2.0,0.625,1
-10.0,-3.7635135135135136,-6.0,0.0,0
-11.0,-0.8243243243243243,-5.0,0.0,0
-5.0,-3.7635135135135136,-6.0,0.0,0
-17.5,-3.7635135135135136,-5.0,0.0,0
0.04040404040404041,-3.7635135135135136,-5.0,0.0,0
12.0,0.9391891891891893,7.0,1.0,1
1.0,0.9391891891891893,-5.0,0.333333333,0
6.0,0.9391891891891893,3.0,0.666666667,1
0.04040404040404041,-0.8243243243243243,2.0,1.0,1
14.0,-0.8243243243243243,0.0,0.5,1
14.0,-0.8243243243243243,4.0,1.0,1
4.0,0.9391891891891893,3.0,0.6,1
0.0,-2.0,-16.0,0.1,0
0.0,-3.7635135135135136,-16.0,0.0,0
18.5,0.9391891891891893,4.0,1.0,1
18.5,0.9391891891891893,2.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
-8.0,-3.0,-8.0,0.1,0
-12.0,-3.7635135135135136,-9.0,0.0,0
0.04040404040404041,-3.7635135135135136,-4.0,0.0,0
-2.0,-1.0,-12.0,0.125,0
-6.0,-3.7635135135135136,-19.0,0.0,0
-5.0,0.0,-13.0,0.0,0
0.04040404040404041,-3.7635135135135136,-2.0,0.0,0
-17.5,-0.8243243243243243,-1.0,0.0,0
0.04040404040404041,-0.8243243243243243,-2.0,0.0,0
0.04040404040404041,0.9391891891891893,4.0,1.0,1
11.0,0.9391891891891893,5.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
10.0,-0.8243243243243243,4.0,1.0,1
9.0,-0.8243243243243243,4.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
6.0,0.9391891891891893,7.0,1.0,1
12.0,-0.8243243243243243,5.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
0.04040404040404041,0.9391891891891893,2.0,1.0,1
10.0,-0.8243243243243243,5.0,1.0,1
0.04040404040404041,-0.8243243243243243,4.0,1.0,1
0.04040404040404041,-0.8243243243243243,3.0,1.0,1
18.5,-0.8243243243243243,3.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
0.04040404040404041,-0.8243243243243243,-2.0,0.0,0
-17.5,-0.8243243243243243,-2.0,0.0,0
6.0,0.9391891891891893,5.0,1.0,1
-4.0,-3.7635135135135136,-18.0,0.0,0
2.0,-0.8243243243243243,-4.0,0.333333333,0
-8.0,-3.7635135135135136,-10.0,0.0,0
-11.0,-3.7635135135135136,-6.0,0.0,0
-13.0,-3.7635135135135136,-8.0,0.0,0
6.0,-0.8243243243243243,6.0,1.0,1
9.0,-0.8243243243243243,11.0,1.0,1
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
-1.0,-0.8243243243243243,1.0,0.533333333,0
-7.0,-3.7635135135135136,-12.0,0.0,0
0.0,-0.8243243243243243,-8.0,0.0,0
0.04040404040404041,-0.8243243243243243,1.0,1.0,1
18.5,0.9391891891891893,3.0,1.0,1
